vertex,out-degree,in-degree
3.182.165.188,12,9
3.185.252.239,9,1
3.189.110.219,5,2
3.189.140.252,5,6
3.190.233.69,9,10
3.192.227.165,8,16
3.192.247.235,2,3
3.196.171.190,4,2
3.200.98.93,9,8
3.200.240.220,12,5
3.201.153.168,6,6
3.201.247.115,6,9
3.204.29.156,9,10
3.204.157.14,10,4
3.206.103.171,9,1
3.214.63.200,7,8
3.220.74.220,11,2
3.220.251.89,8,9
3.222.106.232,4,2
3.223.62.59,6,9
3.223.137.206,8,2
3.230.139.56,3,3
3.243.175.219,8,6
3.245.39.190,3,7
3.247.215.144,13,1
3.252.86.175,8,3
3.254.244.172,6,13
4.3.154.125,11,1
4.5.34.202,5,9
4.11.41.45,4,3
4.25.86.93,9,1
4.46.93.220,7,3
4.47.169.185,2,6
4.49.63.2,9,4
4.51.194.190,8,7
4.51.213.79,4,6
4.54.70.62,5,2
4.54.118.114,5,3
4.63.160.140,3,8
4.64.180.166,8,1
4.69.122.216,6,2
4.69.203.240,5,9
4.75.133.118,7,4
4.77.134.112,3,9
4.79.36.239,4,11
4.84.19.216,3,13
4.84.253.80,7,2
4.87.224.127,7,12
4.91.115.199,10,3
4.97.212.218,4,13
4.98.100.160,5,9
4.101.9.96,9,19
4.106.120.90,6,8
4.106.121.59,12,9
4.107.173.56,8,17
4.108.244.179,4,1
4.112.4.154,4,8
4.113.123.72,7,1
4.120.65.101,7,11
4.123.214.218,3,2
4.124.239.6,5,8
4.131.6.26,4,3
4.136.64.229,3,3
4.139.194.195,4,13
4.145.31.252,7,6
4.153.72.230,8,10
4.153.101.96,10,9
4.162.180.170,8,2
4.164.62.179,7,6
4.165.117.107,6,5
4.173.247.3,3,1
4.181.192.32,9,5
4.182.183.84,8,13
4.193.171.49,9,13
4.194.119.253,10,4
4.195.37.41,6,10
4.195.47.225,6,9
4.197.186.179,6,5
4.200.180.109,15,3
4.207.84.30,9,2
4.210.80.44,13,6
4.213.141.25,6,12
4.237.75.46,2,2
4.237.75.237,7,6
4.237.189.41,2,1
4.241.187.223,6,5
5.1.34.92,10,1
5.6.11.81,5,17
5.18.155.162,9,5
5.18.173.43,8,10
5.19.124.235,7,5
5.19.200.33,10,3
5.20.75.187,9,3
5.30.79.115,7,3
5.31.47.39,12,9
5.31.77.27,9,9
5.33.90.194,8,5
5.37.122.5,8,9
5.38.147.105,4,8
5.48.73.153,3,1
5.51.102.206,7,6
5.51.252.130,13,17
5.52.58.223,14,3
5.55.215.207,11,1
5.65.9.127,7,10
5.68.113.204,9,3
5.74.61.204,3,3
5.78.6.27,3,6
5.93.92.183,7,10
5.95.211.74,8,3
5.103.188.166,7,9
5.115.34.54,10,5
5.115.143.189,9,3
5.127.162.172,7,8
5.129.211.127,9,11
5.131.166.17,8,8
5.133.123.184,5,2
5.137.126.116,7,9
5.137.233.146,8,18
5.139.2.146,11,9
5.145.72.53,10,10
5.147.106.202,6,1
5.147.204.51,6,10
5.149.195.151,9,3
5.153.23.217,9,9
5.164.109.143,11,5
5.167.80.61,7,5
5.171.75.196,4,5
5.190.40.206,6,6
5.191.141.31,4,5
5.197.12.161,10,1
5.198.225.40,12,6
5.210.251.57,3,4
5.212.67.187,6,5
5.219.180.90,4,11
5.227.152.91,6,2
5.231.44.161,6,15
5.240.186.222,7,9
5.241.69.183,5,9
5.243.55.44,5,6
5.245.203.112,13,11
5.254.81.152,7,5
6.1.8.59,1,10
6.3.240.97,6,2
6.7.44.202,12,8
6.10.125.216,14,6
6.21.127.96,6,8
6.22.22.56,4,6
6.23.230.87,8,9
6.42.105.254,6,5
6.50.175.139,4,4
6.51.6.133,7,20
6.81.80.221,3,4
6.93.69.18,11,5
6.98.88.238,8,2
6.100.5.13,6,4
6.101.54.181,10,2
6.102.76.125,5,13
6.105.233.29,5,5
6.112.164.148,7,2
6.113.112.197,8,9
6.119.125.105,1,1
6.121.137.150,6,2
6.124.138.104,9,7
6.131.103.52,7,3
6.139.143.121,6,4
6.141.238.123,9,3
6.148.11.47,9,7
6.151.51.40,5,6
6.156.108.143,5,9
6.171.58.7,6,12
6.173.36.214,2,5
6.175.153.184,9,8
6.176.37.213,4,8
6.187.249.21,3,13
6.190.97.158,6,5
6.199.240.130,8,10
6.202.40.23,7,10
6.202.74.81,4,5
6.211.197.221,4,15
6.213.225.177,6,8
6.220.113.4,10,3
6.221.172.155,6,8
6.222.5.114,4,18
6.226.102.24,7,4
6.230.176.233,11,10
6.234.18.194,9,13
6.235.142.24,8,16
6.237.135.202,6,5
6.245.143.253,8,10
6.252.240.158,12,2
7.1.112.108,5,12
7.7.190.144,8,2
7.7.251.32,11,4
7.9.250.65,3,2
7.14.179.10,5,11
7.15.191.176,6,12
7.19.111.126,8,7
7.25.140.82,12,5
7.25.232.212,14,2
7.31.86.36,7,1
7.38.213.124,5,3
7.44.173.151,9,2
7.53.48.150,6,15
7.53.62.50,5,14
7.54.81.107,9,9
7.55.47.25,10,2
7.65.165.97,7,10
7.65.171.54,3,8
7.80.161.45,7,14
7.83.245.75,10,2
7.84.5.211,6,1
7.87.10.234,5,1
7.89.216.132,7,9
7.89.238.162,8,8
7.90.35.25,6,8
7.96.239.134,5,8
7.99.68.28,3,11
7.101.94.230,11,4
7.102.63.240,6,5
7.102.88.107,7,6
7.110.239.196,3,8
7.110.239.215,5,5
7.122.134.186,5,2
7.126.247.124,5,4
7.131.11.43,15,6
7.131.161.37,11,5
7.133.122.133,6,1
7.137.44.113,3,9
7.140.209.230,2,4
7.140.237.119,4,10
7.146.134.232,2,14
7.149.172.97,7,10
7.150.125.118,5,10
7.155.180.19,5,1
7.158.211.206,6,7
7.162.148.214,7,9
7.162.159.56,9,9
7.171.179.62,6,1
7.171.199.66,12,9
7.181.15.206,8,5
7.185.199.134,8,10
7.193.196.45,11,10
7.194.173.73,4,6
7.195.29.193,3,9
7.196.214.75,10,6
7.197.247.135,4,5
7.203.76.215,6,7
7.205.232.114,9,23
7.207.221.9,10,2
7.210.236.9,7,2
7.211.107.214,5,7
7.214.72.175,8,3
7.219.246.201,6,5
7.224.126.172,5,4
7.227.57.88,5,10
7.230.189.78,6,3
7.233.125.130,6,7
7.235.121.84,4,7
7.248.131.116,0,16
7.250.146.121,8,13
7.252.200.171,6,17
8.6.131.70,10,7
8.8.178.125,7,4
8.20.254.211,5,4
8.21.48.220,10,8
8.29.78.177,5,13
8.52.84.10,6,7
8.54.83.172,5,6
8.56.125.160,3,2
8.68.218.77,8,8
8.72.206.236,5,4
8.78.242.242,9,7
8.79.11.131,8,1
8.81.1.51,8,8
8.81.185.92,12,8
8.83.251.225,7,9
8.90.170.47,12,12
8.93.165.120,6,9
8.96.14.175,5,3
8.103.230.129,8,6
8.104.227.126,7,12
8.106.149.51,7,6
8.112.52.181,7,11
8.112.229.148,10,15
8.113.230.41,8,7
8.115.175.217,5,10
8.117.167.78,8,4
8.117.245.11,6,7
8.121.254.49,8,3
8.126.149.23,6,9
8.130.50.48,7,5
8.133.132.240,8,14
8.134.22.108,11,5
8.136.34.161,7,22
8.138.212.64,5,3
8.146.43.170,7,3
8.147.73.95,4,1
8.150.143.141,10,1
8.151.86.53,11,7
8.156.153.187,7,11
8.158.22.166,8,2
8.161.158.229,6,10
8.166.218.117,5,7
8.171.7.27,2,10
8.179.73.99,7,4
8.181.138.198,8,14
8.182.192.242,4,6
8.190.139.2,4,3
8.194.249.193,11,5
8.195.192.175,7,3
8.209.48.195,4,10
8.212.205.31,4,8
8.216.49.213,5,4
8.217.214.74,6,22
8.221.142.240,8,6
8.222.236.71,8,7
8.224.193.157,8,4
8.227.80.50,10,9
8.228.209.145,2,5
8.234.144.193,9,9
8.240.123.193,7,5
8.241.158.182,8,1
8.251.229.219,3,4
8.254.205.149,7,1
9.9.117.244,5,8
9.12.165.80,4,8
9.21.2.168,5,6
9.25.13.5,12,9
9.41.16.68,9,5
9.42.194.247,8,1
9.47.246.182,10,2
9.49.20.212,10,3
9.53.151.27,10,10
9.64.199.244,5,6
9.66.187.43,6,10
9.69.10.86,9,8
9.70.23.38,7,2
9.73.185.168,5,2
9.75.109.210,7,10
9.77.45.129,5,3
9.84.107.252,8,5
9.84.154.97,6,10
9.86.130.109,6,3
9.99.150.121,8,4
9.105.64.132,3,4
9.105.88.249,5,7
9.108.178.111,10,11
9.118.35.35,7,10
9.123.2.145,4,9
9.124.14.142,4,8
9.133.23.42,2,2
9.140.40.140,7,2
9.142.169.132,7,9
9.144.61.232,12,10
9.147.49.225,8,8
9.147.126.123,6,2
9.161.145.106,8,8
9.163.27.154,11,9
9.167.178.55,8,10
9.171.73.51,2,8
9.175.85.76,7,5
9.182.243.148,7,4
9.185.194.62,9,10
9.191.250.103,4,7
9.199.104.42,9,2
9.200.198.223,6,6
9.200.221.54,6,7
9.208.112.92,6,5
9.211.84.144,7,6
9.221.74.189,9,10
9.228.204.147,8,5
9.231.25.225,4,15
9.231.156.118,9,10
9.240.17.115,8,18
9.244.182.66,11,11
9.246.141.146,6,10
9.253.242.108,5,6
9.254.66.229,9,6
10.9.47.176,12,2
10.10.21.116,8,3
10.27.28.185,7,4
10.33.81.177,5,3
10.34.33.134,8,4
10.44.83.100,10,7
10.45.34.23,7,24
10.45.120.3,12,6
10.56.54.35,6,6
10.56.193.210,9,5
10.64.248.20,8,6
10.70.188.197,7,10
10.74.101.28,5,9
10.80.59.30,6,1
10.81.78.28,6,8
10.86.206.167,7,2
10.89.145.127,7,9
10.93.107.111,4,1
10.95.92.76,12,5
10.95.217.184,7,5
10.99.40.17,6,4
10.99.219.14,6,4
10.110.118.62,7,7
10.111.40.115,7,5
10.114.14.226,3,2
10.116.14.17,7,2
10.117.83.79,7,9
10.118.211.72,4,12
10.120.61.17,8,6
10.125.139.186,5,6
10.133.211.143,10,3
10.133.245.228,9,7
10.139.77.32,3,10
10.140.149.34,6,5
10.146.199.202,6,3
10.150.103.163,4,1
10.153.140.249,7,7
10.153.241.53,8,4
10.155.24.11,11,3
10.158.65.56,6,3
10.164.200.86,8,4
10.164.253.210,8,2
10.165.174.170,5,9
10.170.120.194,8,6
10.178.113.183,9,11
10.178.236.206,10,9
10.181.132.235,11,9
10.182.247.176,9,9
10.187.47.209,3,10
10.189.121.253,6,8
10.197.5.132,6,6
10.198.122.102,4,3
10.205.14.230,11,14
10.211.55.84,4,10
10.212.32.215,2,6
10.217.71.102,7,8
10.218.177.57,8,10
10.230.234.169,4,3
10.238.109.132,10,1
10.239.195.39,4,3
10.247.142.96,6,8
10.253.98.8,10,6
11.6.69.13,7,8
11.16.219.40,10,9
11.17.141.100,9,8
11.30.236.167,7,4
11.42.94.110,8,8
11.45.106.166,7,2
11.46.100.224,6,9
11.57.29.96,4,10
11.59.87.42,11,8
11.59.171.27,6,8
11.60.164.183,5,5
11.61.24.10,8,17
11.65.103.18,9,4
11.68.218.39,7,9
11.69.94.47,5,8
11.78.33.227,6,8
11.79.168.10,2,15
11.84.233.253,7,7
11.98.158.80,7,7
11.102.252.152,9,6
11.104.241.125,6,8
11.105.45.36,11,5
11.106.213.233,5,12
11.110.97.148,12,9
11.115.153.192,6,4
11.116.109.207,15,6
11.120.45.138,9,4
11.122.39.77,4,10
11.129.97.87,6,20
11.142.173.67,4,7
11.143.235.221,3,7
11.146.182.179,7,10
11.160.195.201,3,4
11.161.43.17,8,6
11.161.203.31,4,4
11.162.128.164,10,9
11.162.245.199,10,10
11.165.115.211,9,1
11.166.103.152,9,6
11.177.217.144,10,1
11.181.32.42,4,6
11.183.12.115,5,8
11.184.204.53,8,15
11.186.100.43,5,8
11.190.136.246,12,6
11.199.20.13,9,11
11.206.200.8,14,3
11.208.126.106,9,5
11.221.22.211,10,1
11.228.204.188,13,9
11.234.17.101,3,20
11.234.221.82,8,12
11.243.16.249,10,3
11.247.10.178,10,6
11.248.110.105,7,10
12.6.26.120,3,5
12.10.108.74,8,6
12.10.215.124,10,10
12.12.202.218,9,13
12.20.89.73,11,7
12.20.174.168,6,9
12.33.141.134,7,7
12.34.174.43,5,9
12.35.157.60,6,9
12.36.201.60,6,4
12.43.210.37,6,12
12.49.83.226,5,10
12.51.68.46,6,8
12.64.162.188,5,10
12.74.117.213,6,9
12.76.218.162,6,16
12.79.231.201,5,7
12.86.2.210,6,14
12.87.232.236,7,9
12.89.186.201,12,9
12.93.226.71,8,16
12.100.167.220,4,4
12.104.13.124,5,6
12.105.222.163,4,10
12.106.221.212,3,10
12.109.25.249,4,3
12.140.247.40,3,9
12.151.44.60,10,8
12.151.61.117,7,2
12.162.107.247,9,9
12.173.249.95,7,3
12.177.242.177,4,3
12.180.247.198,6,10
12.183.20.212,11,2
12.183.116.214,5,4
12.186.201.252,9,6
12.187.254.70,8,2
12.188.168.7,8,2
12.194.4.4,7,19
12.200.37.31,8,2
12.207.97.106,4,4
12.207.132.200,7,7
12.214.62.49,8,10
12.221.245.103,8,5
12.223.76.120,15,8
12.230.58.14,13,9
13.1.153.24,10,20
13.3.16.144,8,7
13.12.134.181,10,7
13.15.22.100,7,3
13.20.87.156,5,7
13.21.133.9,6,4
13.30.192.242,9,10
13.36.108.43,8,9
13.37.228.79,7,9
13.40.203.116,6,8
13.41.167.254,11,3
13.43.144.63,3,6
13.54.132.51,6,4
13.60.65.222,8,5
13.70.111.81,6,1
13.70.220.209,5,12
13.73.32.19,11,2
13.75.65.3,9,1
13.75.77.113,6,16
13.81.124.249,2,1
13.82.147.13,6,8
13.86.215.136,7,8
13.92.132.234,4,8
13.93.193.234,11,3
13.97.2.178,5,8
13.97.154.214,5,10
13.100.142.184,11,14
13.115.34.26,7,1
13.115.106.78,7,5
13.120.44.206,3,14
13.138.208.51,7,5
13.145.32.251,6,6
13.148.73.252,5,10
13.149.155.234,7,9
13.155.175.64,12,1
13.160.236.209,6,2
13.161.204.128,7,13
13.162.254.12,3,7
13.163.82.245,6,6
13.163.109.29,7,4
13.164.167.125,10,6
13.164.240.77,10,2
13.169.56.87,7,5
13.170.69.60,9,4
13.172.200.60,4,9
13.184.222.42,5,4
13.185.242.178,6,7
13.194.22.152,8,6
13.196.98.44,5,10
13.198.145.144,7,8
13.202.36.200,7,6
13.206.248.137,7,8
13.217.21.181,7,5
13.221.253.243,7,1
13.227.97.74,7,4
13.233.67.194,8,11
13.233.112.177,7,10
13.244.16.185,4,10
13.247.71.123,3,10
14.2.20.138,11,10
14.12.98.60,6,1
14.19.43.106,9,10
14.21.148.26,5,6
14.23.187.208,5,4
14.26.181.148,5,3
14.27.48.1,5,7
14.34.135.22,2,3
14.35.7.157,4,2
14.50.73.175,9,2
14.53.135.183,11,7
14.53.156.90,8,16
14.57.212.145,5,11
14.59.113.215,3,16
14.59.189.39,4,6
14.62.235.241,9,4
14.68.172.88,9,16
14.70.119.159,6,9
14.92.50.84,2,9
14.106.93.3,12,5
14.108.216.206,8,10
14.110.135.212,7,7
14.114.190.225,6,6
14.130.95.249,4,8
14.135.86.175,7,2
14.135.191.59,9,3
14.136.52.200,5,5
14.142.238.65,7,5
14.143.115.162,8,9
14.165.136.167,5,1
14.169.5.181,9,1
14.178.214.117,8,1
14.188.174.88,4,7
14.191.8.239,5,9
14.193.52.15,2,4
14.195.85.59,7,10
14.195.135.9,7,1
14.201.35.217,7,10
14.203.3.94,10,6
14.208.149.204,7,10
14.209.120.142,2,8
14.222.16.62,9,9
14.231.61.120,3,2
14.236.43.32,4,8
14.244.91.57,7,10
14.246.50.73,6,9
14.250.172.242,6,8
14.251.160.134,8,7
15.15.169.106,5,16
15.18.246.166,3,2
15.32.115.229,5,8
15.33.171.67,6,3
15.36.49.83,8,2
15.46.28.47,12,19
15.47.246.90,3,9
15.48.179.211,11,1
15.50.142.99,8,6
15.50.230.56,7,2
15.61.171.101,8,4
15.64.111.88,6,10
15.66.91.222,10,18
15.72.230.165,6,6
15.81.71.73,7,4
15.82.104.90,7,2
15.84.158.24,6,16
15.87.242.138,3,5
15.98.148.107,7,9
15.99.51.230,5,3
15.99.230.176,6,7
15.105.156.90,5,16
15.113.152.9,9,2
15.113.211.66,8,10
15.122.88.174,5,2
15.126.148.175,9,6
15.129.56.86,8,1
15.131.167.110,7,2
15.133.168.145,7,9
15.133.240.231,4,3
15.137.189.250,5,7
15.138.21.104,13,12
15.138.87.16,3,3
15.141.37.181,8,18
15.143.68.70,5,25
15.145.33.78,7,6
15.147.208.132,8,9
15.148.114.189,11,4
15.148.148.234,4,2
15.150.84.239,5,21
15.156.53.208,9,7
15.159.176.77,5,2
15.174.107.28,7,7
15.177.187.190,7,6
15.184.92.201,6,2
15.186.126.66,6,7
15.187.46.101,6,10
15.190.52.88,6,14
15.203.155.221,12,5
15.206.179.75,11,8
15.210.47.91,8,10
15.214.176.209,9,11
15.223.33.46,8,17
15.223.154.58,4,6
15.228.128.99,3,10
15.232.172.195,9,1
15.239.50.97,7,6
15.248.120.17,7,14
15.252.58.182,2,8
16.6.170.243,8,2
16.13.141.120,6,7
16.18.18.213,5,9
16.21.136.141,2,3
16.26.101.10,6,10
16.27.178.244,1,5
16.39.1.125,15,6
16.39.58.131,6,4
16.49.96.102,3,7
16.51.167.104,4,4
16.52.46.230,4,7
16.54.245.71,8,8
16.57.208.207,4,1
16.60.29.191,4,11
16.61.173.62,5,3
16.62.90.67,12,4
16.65.174.199,3,15
16.67.24.121,9,10
16.72.132.202,4,3
16.73.21.233,4,1
16.81.14.2,12,3
16.87.182.160,10,8
16.88.119.99,11,19
16.90.149.72,1,1
16.101.4.129,7,6
16.110.85.221,8,7
16.111.251.182,12,1
16.113.206.211,7,9
16.114.244.251,7,5
16.118.24.176,3,4
16.123.107.71,9,6
16.128.113.110,4,1
16.128.168.46,7,10
16.136.133.194,4,15
16.136.175.203,3,2
16.143.95.233,6,7
16.143.180.78,11,8
16.151.50.135,4,10
16.157.189.188,7,3
16.160.31.196,6,14
16.162.74.121,6,1
16.168.164.52,11,8
16.168.192.219,3,6
16.173.249.120,3,10
16.174.99.85,11,4
16.175.128.142,7,10
16.188.160.183,9,9
16.189.19.72,10,6
16.192.146.113,7,6
16.210.141.193,7,10
16.211.189.212,5,5
16.219.145.104,3,7
16.225.247.85,14,10
16.233.163.206,4,2
16.234.78.156,6,2
16.236.31.51,5,6
16.242.44.136,2,9
16.250.142.180,7,1
17.4.54.44,6,15
17.11.156.220,4,7
17.12.243.204,7,20
17.13.100.76,7,1
17.28.192.161,11,3
17.30.26.16,8,13
17.34.237.173,4,9
17.35.40.189,9,8
17.39.101.89,6,8
17.40.56.99,8,19
17.42.236.107,8,18
17.55.38.186,8,16
17.55.112.35,3,4
17.63.108.223,4,2
17.70.120.209,5,8
17.76.152.76,6,1
17.86.34.174,10,9
17.95.214.202,6,6
17.102.123.120,10,9
17.110.164.189,12,8
17.113.63.89,6,8
17.115.99.31,9,4
17.126.203.224,3,5
17.127.113.70,6,9
17.133.225.196,3,2
17.134.90.93,8,9
17.135.167.155,8,5
17.137.68.70,5,4
17.146.77.17,3,5
17.146.245.221,5,8
17.151.212.158,5,10
17.152.63.8,6,11
17.153.31.181,7,13
17.185.210.181,2,2
17.186.4.72,5,3
17.193.99.143,6,10
17.208.45.213,10,3
17.210.90.53,10,7
17.213.205.41,7,2
17.216.37.157,7,9
17.227.141.128,7,8
17.229.71.225,3,10
17.239.175.159,5,8
17.239.229.134,7,7
18.11.246.59,7,5
18.13.91.68,3,6
18.15.18.26,4,3
18.19.11.164,9,8
18.20.148.122,7,12
18.35.69.177,4,13
18.42.240.234,8,8
18.54.188.215,9,10
18.60.217.1,4,10
18.67.76.96,4,5
18.72.142.13,3,6
18.75.169.28,8,1
18.79.191.101,8,6
18.80.188.123,9,6
18.81.232.155,5,2
18.87.6.180,4,10
18.101.249.253,7,1
18.116.142.147,4,11
18.120.214.31,6,3
18.122.213.245,8,2
18.123.141.254,4,8
18.124.218.100,5,1
18.133.123.24,11,10
18.137.172.214,3,8
18.155.168.88,5,4
18.157.38.106,6,4
18.161.8.219,10,14
18.172.241.48,9,15
18.176.73.153,8,3
18.194.158.148,3,5
18.196.142.104,5,10
18.202.194.152,9,16
18.207.77.148,5,12
18.214.204.34,6,2
18.219.196.221,6,6
18.228.232.15,4,6
18.231.35.63,12,13
18.241.160.92,6,10
18.242.190.163,9,10
18.244.62.33,3,7
18.244.167.74,8,4
18.248.4.213,4,11
18.250.172.221,11,6
18.251.235.216,5,5
18.254.38.166,9,16
18.254.189.50,6,9
19.11.194.246,5,10
19.23.94.206,10,9
19.49.49.26,7,10
19.67.11.64,5,9
19.72.92.131,9,17
19.72.155.138,8,8
19.72.226.178,8,10
19.83.235.205,5,7
19.85.123.182,4,5
19.87.36.142,4,14
19.100.193.206,8,6
19.102.33.165,7,9
19.103.119.48,10,9
19.103.222.204,8,2
19.104.102.75,1,4
19.105.189.79,6,15
19.109.207.44,13,10
19.114.132.32,5,8
19.122.3.161,4,12
19.132.172.124,12,8
19.155.170.29,7,3
19.159.8.164,6,17
19.159.11.66,13,10
19.159.135.108,5,9
19.169.115.12,7,10
19.174.247.163,9,10
19.183.237.65,9,2
19.185.2.237,6,5
19.202.139.148,9,10
19.205.161.46,4,1
19.208.107.241,6,13
19.211.67.249,7,19
19.213.54.150,9,4
19.214.223.38,6,5
19.215.101.141,3,12
19.225.175.146,5,10
19.230.235.33,11,1
19.232.85.10,7,13
19.234.88.86,3,4
19.235.151.23,5,12
19.238.48.95,4,11
19.243.45.170,9,4
19.248.209.5,5,10
19.254.124.51,5,11
20.6.113.44,12,6
20.14.10.26,6,6
20.16.189.173,5,8
20.21.122.101,6,3
20.21.130.136,6,5
20.29.57.172,9,4
20.34.21.58,7,9
20.39.154.63,8,2
20.46.19.23,12,6
20.56.121.199,6,2
20.62.118.152,5,9
20.66.51.230,4,5
20.71.179.220,3,5
20.77.219.46,6,1
20.79.35.178,5,18
20.81.157.231,9,2
20.84.134.101,9,8
20.85.161.49,8,9
20.92.170.161,11,12
20.97.232.115,10,4
20.100.38.233,8,8
20.101.92.140,6,3
20.101.138.198,11,9
20.105.57.216,8,9
20.111.66.76,5,3
20.114.231.62,7,6
20.115.109.246,3,9
20.116.33.50,8,10
20.126.26.75,8,3
20.126.128.84,10,3
20.127.101.151,9,2
20.128.167.128,3,6
20.139.163.65,5,7
20.143.191.23,7,4
20.151.22.130,9,8
20.153.137.11,5,14
20.155.103.218,7,10
20.158.167.75,6,5
20.160.251.250,7,16
20.162.151.46,9,3
20.162.238.160,7,8
20.169.171.199,6,18
20.170.10.37,6,5
20.179.164.36,6,10
20.181.159.17,6,3
20.184.159.157,7,5
20.193.216.161,5,4
20.197.78.29,7,15
20.197.161.246,5,5
20.197.242.29,12,10
20.201.36.98,5,10
20.208.12.251,6,10
20.208.45.213,9,9
20.209.166.140,13,9
20.215.43.81,4,2
20.224.79.201,7,7
20.229.13.39,11,2
20.235.95.37,10,19
20.242.129.33,8,2
20.250.111.215,10,5
21.6.49.239,8,4
21.9.240.243,6,3
21.20.235.190,14,5
21.29.110.147,7,4
21.46.43.181,4,5
21.47.232.237,10,4
21.49.74.220,8,7
21.49.237.212,3,4
21.54.63.166,12,4
21.59.64.33,7,12
21.64.233.57,6,6
21.67.202.105,7,2
21.70.144.10,9,10
21.74.231.164,12,8
21.75.81.129,8,7
21.79.195.62,6,9
21.88.189.224,7,8
21.89.230.187,2,9
21.91.151.96,7,5
21.92.7.94,13,10
21.95.43.240,8,8
21.99.62.102,9,5
21.101.213.223,10,7
21.107.20.33,2,6
21.113.14.152,7,10
21.118.83.228,10,8
21.124.60.162,6,2
21.126.58.166,6,1
21.137.197.33,5,2
21.141.149.111,9,1
21.142.218.123,12,6
21.148.163.90,4,10
21.154.27.133,8,10
21.158.243.2,10,8
21.170.206.84,5,3
21.173.97.179,5,12
21.190.42.65,7,11
21.200.104.112,2,9
21.208.81.243,1,5
21.219.195.205,7,1
21.224.233.147,3,5
21.231.227.132,8,9
21.234.247.144,8,8
21.246.104.111,5,10
21.247.183.33,11,4
21.253.231.174,12,6
22.7.86.253,8,9
22.15.85.210,9,4
22.20.29.13,8,8
22.20.206.84,9,6
22.30.113.217,5,9
22.35.122.219,7,6
22.42.73.127,10,3
22.48.25.35,8,6
22.53.170.192,8,14
22.57.152.196,11,12
22.67.238.85,7,3
22.70.122.35,2,5
22.84.113.148,2,7
22.86.10.29,8,6
22.90.21.157,5,9
22.91.74.227,5,9
22.94.137.161,5,5
22.94.219.180,8,10
22.94.234.123,5,6
22.101.75.95,7,1
22.109.15.199,9,11
22.111.221.253,5,10
22.133.246.211,4,1
22.143.42.140,7,9
22.145.187.127,10,15
22.149.182.127,8,4
22.162.79.52,6,8
22.167.126.8,3,6
22.176.194.85,4,7
22.181.152.1,6,6
22.195.104.14,6,1
22.200.131.143,7,8
22.205.146.135,7,7
22.212.237.161,7,2
22.221.10.189,6,2
22.222.70.17,8,1
